"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
1,2019-04-04 00:00:00.000000000,"AA3Y0",7.85,7.54,6,"Francesco Cossiga",107,
0,2015-03-06 00:00:00.000000000,"AA3Y0",5.53,6.53,20,"Francesco Cossiga",107,
0,2013-09-18 00:00:00.000000000,"AA3Y0",3.47,4.13,19,"Francesco Cossiga",107,
0,2011-12-31 00:00:00.000000000,"AA3Y0",7.85,9.32,6,"Francesco Cossiga",107,
1,2009-01-18 00:00:00.000000000,"ABFD7",5.67,5.51,1,"Francesco Cossiga",107,
0,2019-04-15 00:00:00.000000000,"ABFD7",2.42,2.59,37,"Francesco Cossiga",107,
1,2011-12-26 00:00:00.000000000,"ABFD7",0.36,0.34,36,"Francesco Cossiga",107,
0,2015-08-02 00:00:00.000000000,"ABFD7",8.4,10.26,34,"Francesco Cossiga",107,
0,2019-08-04 00:00:00.000000000,"ABFD7",0.24,0.25,30,"Francesco Cossiga",107,
0,2009-05-26 00:00:00.000000000,"ABFD7",0.66,0.73,16,"Francesco Cossiga",107,
1,2018-01-09 00:00:00.000000000,"ABFD7",9.66,9.47,13,"Francesco Cossiga",107,
1,2018-06-22 00:00:00.000000000,"ABFD7",5.24,5.03,7,"Francesco Cossiga",107,
0,2018-01-03 00:00:00.000000000,"ABFD7",5.88,6.88,4,"Francesco Cossiga",107,
0,2013-09-20 00:00:00.000000000,"ABFD7",8.74,9.79,2,"Francesco Cossiga",107,
0,2015-04-24 00:00:00.000000000,"ABF3R",4.97,5.37,3,"Francesco Cossiga",107,
0,2012-04-16 00:00:00.000000000,"ABF3R",8.33,8.75,35,"Francesco Cossiga",107,
1,2012-11-09 00:00:00.000000000,"ABF3R",6.5,6.05,32,"Francesco Cossiga",107,
1,2012-07-25 00:00:00.000000000,"ABF3R",1.17,1.14,27,"Francesco Cossiga",107,
0,2012-07-25 00:00:00.000000000,"ABF3R",5.89,6.48,24,"Francesco Cossiga",107,
1,2019-02-19 00:00:00.000000000,"ABF3R",7.29,6.85,10,"Francesco Cossiga",107,
1,2011-04-08 00:00:00.000000000,"ABF3R",1.58,1.55,5,"Francesco Cossiga",107,
