"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
0,2012-02-12 00:00:00.000000000,"00GVC",7.63,8.48,20,"Philipp Ludwig von Seidel",27,
0,2019-02-21 00:00:00.000000000,"00GVC",9.81,10.99,42,"Philipp Ludwig von Seidel",27,
0,2011-07-12 00:00:00.000000000,"00GVC",9.81,10.2,42,"Philipp Ludwig von Seidel",27,
0,2011-07-09 00:00:00.000000000,"00GVC",8.62,10.6,33,"Philipp Ludwig von Seidel",27,
1,2018-08-14 00:00:00.000000000,"00GVC",8.89,8.71,32,"Philipp Ludwig von Seidel",27,
1,2016-05-30 00:00:00.000000000,"00GVC",4.57,4.11,29,"Philipp Ludwig von Seidel",27,
1,2013-04-16 00:00:00.000000000,"00GVC",5.84,5.44,47,"Philipp Ludwig von Seidel",27,
0,2012-01-02 00:00:00.000000000,"00GVC",0.81,0.96,7,"Philipp Ludwig von Seidel",27,
0,2013-11-07 00:00:00.000000000,"00GVC",2.55,2.76,17,"Philipp Ludwig von Seidel",27,
0,2012-02-10 00:00:00.000000000,"00GVC",7.51,8.87,18,"Philipp Ludwig von Seidel",27,
1,2012-08-23 00:00:00.000000000,"00GVC",5.6,5.32,45,"Philipp Ludwig von Seidel",27,
0,2009-12-20 00:00:00.000000000,"00GVC",7.63,8.36,20,"Philipp Ludwig von Seidel",27,
1,2017-11-06 00:00:00.000000000,"00GVC",8.27,8.19,21,"Philipp Ludwig von Seidel",27,
0,2014-07-11 00:00:00.000000000,"00GVC",2.98,3.1,23,"Philipp Ludwig von Seidel",27,
0,2013-03-09 00:00:00.000000000,"00GVC",2.98,3.56,23,"Philipp Ludwig von Seidel",27,
1,2019-02-12 00:00:00.000000000,"00GVC",1.13,1.03,27,"Philipp Ludwig von Seidel",27,
1,2011-06-30 00:00:00.000000000,"0121I",8.01,7.36,13,"Philipp Ludwig von Seidel",27,
1,2010-05-28 00:00:00.000000000,"0121I",8.01,7.85,13,"Philipp Ludwig von Seidel",27,
0,2010-10-25 00:00:00.000000000,"0121I",6.54,6.67,8,"Philipp Ludwig von Seidel",27,
