"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
1,2013-09-09 00:00:00.000000000,"00GVC",3.5,3.15,6,"Stéphane Mallarmé",58,
1,2019-02-04 00:00:00.000000000,"00GVC",1.99,1.89,9,"Stéphane Mallarmé",58,
0,2012-11-10 00:00:00.000000000,"00GVC",5.03,5.5,11,"Stéphane Mallarmé",58,
1,2013-04-02 00:00:00.000000000,"00GVC",5.03,4.68,11,"Stéphane Mallarmé",58,
0,2019-02-02 00:00:00.000000000,"00GVC",6.65,7.9,4,"Stéphane Mallarmé",58,
0,2014-07-09 00:00:00.000000000,"00GVC",7.51,8.94,18,"Stéphane Mallarmé",58,
0,2013-03-13 00:00:00.000000000,"00GVC",4.57,5.44,29,"Stéphane Mallarmé",58,
0,2011-09-13 00:00:00.000000000,"00GVC",0.7,0.76,46,"Stéphane Mallarmé",58,
1,2018-08-07 00:00:00.000000000,"00GVC",1.94,1.76,14,"Stéphane Mallarmé",58,
0,2015-07-09 00:00:00.000000000,"0121I",8.11,9.32,6,"Stéphane Mallarmé",58,
0,2019-10-03 00:00:00.000000000,"0121I",7.86,8.57,2,"Stéphane Mallarmé",58,
0,2018-07-14 00:00:00.000000000,"0121I",1.81,1.86,14,"Stéphane Mallarmé",58,
1,2013-10-09 00:00:00.000000000,"0121I",1.81,1.68,14,"Stéphane Mallarmé",58,
0,2016-05-17 00:00:00.000000000,"0121I",3.05,3.29,12,"Stéphane Mallarmé",58,
0,2015-04-17 00:00:00.000000000,"01IEO",8.74,10.49,35,"Stéphane Mallarmé",58,
0,2010-11-22 00:00:00.000000000,"01IEO",6.65,7.45,38,"Stéphane Mallarmé",58,
0,2014-01-24 00:00:00.000000000,"01IEO",6.57,6.7,31,"Stéphane Mallarmé",58,
0,2013-03-28 00:00:00.000000000,"01IEO",7.66,8.81,30,"Stéphane Mallarmé",58,
0,2014-07-13 00:00:00.000000000,"01IEO",5.26,6.78,25,"Stéphane Mallarmé",58,
0,2014-10-09 00:00:00.000000000,"01IEO",1.4,1.42,41,"Stéphane Mallarmé",58,
1,2017-04-05 00:00:00.000000000,"01IEO",8.76,8.32,3,"Stéphane Mallarmé",58,
0,2009-03-18 00:00:00.000000000,"01IEO",8.83,9.45,7,"Stéphane Mallarmé",58,
0,2019-05-31 00:00:00.000000000,"03C6L",8.78,9.66,15,"Stéphane Mallarmé",58,
0,2016-09-29 00:00:00.000000000,"03C6L",1.32,1.54,24,"Stéphane Mallarmé",58,
1,2015-03-16 00:00:00.000000000,"03C6L",4.62,4.29,20,"Stéphane Mallarmé",58,
