"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
1,2015-04-28 00:00:00.000000000,"AA3Y0",5.09,4.63,2,"Woody Guthrie",290,
0,2010-09-07 00:00:00.000000000,"AA3Y0",5.7,6.78,18,"Woody Guthrie",290,
1,2016-09-14 00:00:00.000000000,"ABFD7",1.21,1.19,6,"Woody Guthrie",290,
0,2017-11-12 00:00:00.000000000,"ABFD7",0.36,0.39,36,"Woody Guthrie",290,
0,2016-10-02 00:00:00.000000000,"ABFD7",0.36,0.41,36,"Woody Guthrie",290,
0,2017-04-15 00:00:00.000000000,"ABFD7",1.48,1.52,31,"Woody Guthrie",290,
0,2018-01-20 00:00:00.000000000,"ABFD7",7.2,8.52,27,"Woody Guthrie",290,
0,2017-04-22 00:00:00.000000000,"ABFD7",0.21,0.23,23,"Woody Guthrie",290,
1,2016-09-19 00:00:00.000000000,"ABFD7",0.66,0.64,16,"Woody Guthrie",290,
0,2011-02-04 00:00:00.000000000,"ABFD7",0.66,0.67,16,"Woody Guthrie",290,
1,2019-04-04 00:00:00.000000000,"ABFD7",9.66,8.99,13,"Woody Guthrie",290,
1,2015-01-08 00:00:00.000000000,"ABFD7",9.28,8.91,12,"Woody Guthrie",290,
0,2018-09-11 00:00:00.000000000,"ABF3R",4.97,5.81,3,"Woody Guthrie",290,
0,2015-05-31 00:00:00.000000000,"ABF3R",9.3,11.24,34,"Woody Guthrie",290,
1,2015-10-28 00:00:00.000000000,"ABF3R",2.02,1.94,30,"Woody Guthrie",290,
0,2013-11-02 00:00:00.000000000,"ABF3R",5.89,7.04,24,"Woody Guthrie",290,
1,2016-04-14 00:00:00.000000000,"ABF3R",2.18,1.98,22,"Woody Guthrie",290,
0,2014-02-16 00:00:00.000000000,"ABF3R",9.33,11.49,19,"Woody Guthrie",290,
0,2013-04-01 00:00:00.000000000,"ABF3R",3.37,4.04,18,"Woody Guthrie",290,
0,2009-12-07 00:00:00.000000000,"ABF3R",4.8,4.94,12,"Woody Guthrie",290,
0,2018-09-13 00:00:00.000000000,"ABF3R",2.79,2.9,6,"Woody Guthrie",290,
0,2011-05-28 00:00:00.000000000,"AEKO3",5.07,5.69,19,"Woody Guthrie",290,
1,2011-08-19 00:00:00.000000000,"AEKO3",3.77,3.5,43,"Woody Guthrie",290,
0,2012-12-21 00:00:00.000000000,"AEKO3",1.25,1.43,39,"Woody Guthrie",290,
1,2010-06-15 00:00:00.000000000,"AEKO3",6.14,6.02,27,"Woody Guthrie",290,
1,2009-07-15 00:00:00.000000000,"AEKO3",0.68,0.63,26,"Woody Guthrie",290,
0,2009-05-09 00:00:00.000000000,"AEKO3",0.68,0.82,26,"Woody Guthrie",290,
0,2010-06-10 00:00:00.000000000,"AE8NP",2.24,2.29,8,"Woody Guthrie",290,
0,2018-05-05 00:00:00.000000000,"AE8NP",7.28,7.76,15,"Woody Guthrie",290,
1,2018-05-02 00:00:00.000000000,"AE8NP",1.24,1.19,9,"Woody Guthrie",290,
1,2013-08-08 00:00:00.000000000,"AHAE7",3.28,3.12,9,"Woody Guthrie",290,
0,2013-03-20 00:00:00.000000000,"AHAE7",8.95,9.75,24,"Woody Guthrie",290,
0,2011-06-19 00:00:00.000000000,"AHAE7",1.33,1.51,14,"Woody Guthrie",290,
0,2013-04-09 00:00:00.000000000,"AHCKE",2.08,2.13,13,"Woody Guthrie",290,
0,2016-04-15 00:00:00.000000000,"AHCKE",6.78,7.73,31,"Woody Guthrie",290,
1,2015-06-27 00:00:00.000000000,"AHCKE",7.99,7.66,28,"Woody Guthrie",290,
1,2019-10-30 00:00:00.000000000,"AHCKE",1.3,1.18,24,"Woody Guthrie",290,
0,2018-05-22 00:00:00.000000000,"AHCKE",3.53,3.7,21,"Woody Guthrie",290,
0,2016-05-14 00:00:00.000000000,"AHCKE",7.49,8.49,19,"Woody Guthrie",290,
1,2010-04-27 00:00:00.000000000,"AHCKE",7.24,6.66,16,"Woody Guthrie",290,
0,2010-05-17 00:00:00.000000000,"AHF52",7.3,8.17,3,"Woody Guthrie",290,
0,2011-11-29 00:00:00.000000000,"AHF52",6.59,7.71,28,"Woody Guthrie",290,
0,2013-01-31 00:00:00.000000000,"AHF52",9.89,10.09,25,"Woody Guthrie",290,
0,2018-06-11 00:00:00.000000000,"AHF52",4.6,5.06,23,"Woody Guthrie",290,
0,2018-02-15 00:00:00.000000000,"AHF52",9.49,9.77,9,"Woody Guthrie",290,
0,2017-05-05 00:00:00.000000000,"AHZNS",1.61,1.84,9,"Woody Guthrie",290,
0,2017-09-02 00:00:00.000000000,"AH0E0",7.66,8.19,4,"Woody Guthrie",290,
0,2018-08-05 00:00:00.000000000,"AH0E0",0.5,0.5,34,"Woody Guthrie",290,
1,2016-03-01 00:00:00.000000000,"AH0E0",6.08,5.72,26,"Woody Guthrie",290,
0,2018-08-01 00:00:00.000000000,"AH0E0",7.59,8.72,25,"Woody Guthrie",290,
0,2010-09-07 00:00:00.000000000,"AH0E0",5.38,6.29,21,"Woody Guthrie",290,
0,2012-08-15 00:00:00.000000000,"AH0E0",7.42,8.38,15,"Woody Guthrie",290,
1,2010-09-01 00:00:00.000000000,"AH0E0",9.06,8.97,12,"Woody Guthrie",290,
0,2010-03-27 00:00:00.000000000,"AH0E0",6.2,7.78,11,"Woody Guthrie",290,
0,2009-12-04 00:00:00.000000000,"AJBZ0",7.54,9.05,2,"Woody Guthrie",290,
0,2010-01-03 00:00:00.000000000,"AJBZ0",5.22,6.78,44,"Woody Guthrie",290,
0,2016-10-22 00:00:00.000000000,"AJBZ0",5.22,6,44,"Woody Guthrie",290,
1,2017-11-21 00:00:00.000000000,"AJBZ0",3.13,3.03,39,"Woody Guthrie",290,
0,2009-04-02 00:00:00.000000000,"AJBZ0",0.85,0.97,38,"Woody Guthrie",290,
0,2017-04-04 00:00:00.000000000,"AJBZ0",9.22,10.97,37,"Woody Guthrie",290,
0,2009-03-30 00:00:00.000000000,"AJBZ0",7.32,7.98,33,"Woody Guthrie",290,
0,2019-03-18 00:00:00.000000000,"AJBZ0",9.47,11.27,32,"Woody Guthrie",290,
0,2018-05-17 00:00:00.000000000,"AJBZ0",9.03,9.57,14,"Woody Guthrie",290,
0,2017-03-23 00:00:00.000000000,"AJBZ0",1.07,1.28,13,"Woody Guthrie",290,
0,2017-03-21 00:00:00.000000000,"AJBZ0",7.21,8.44,9,"Woody Guthrie",290,
1,2017-08-27 00:00:00.000000000,"AJBZ0",6.47,6.27,6,"Woody Guthrie",290,
0,2017-08-27 00:00:00.000000000,"AJBZ0",2.46,2.51,4,"Woody Guthrie",290,
1,2009-08-26 00:00:00.000000000,"AJBZ0",2.46,2.36,4,"Woody Guthrie",290,
0,2012-03-22 00:00:00.000000000,"AJVOG",6.25,6.93,15,"Woody Guthrie",290,
0,2019-03-09 00:00:00.000000000,"AJVOG",9.54,10.61,44,"Woody Guthrie",290,
0,2019-07-16 00:00:00.000000000,"AJVOG",9.16,9.25,41,"Woody Guthrie",290,
1,2015-08-13 00:00:00.000000000,"AJVOG",7.87,7.48,40,"Woody Guthrie",290,
0,2012-05-21 00:00:00.000000000,"AJVOG",0.52,0.55,25,"Woody Guthrie",290,
1,2015-05-27 00:00:00.000000000,"AJVOG",7.02,6.81,22,"Woody Guthrie",290,
0,2018-04-18 00:00:00.000000000,"AJVOG",2.7,2.78,18,"Woody Guthrie",290,
1,2015-07-02 00:00:00.000000000,"AK33R",5.93,5.51,6,"Woody Guthrie",290,
1,2019-02-25 00:00:00.000000000,"AK33R",5.58,5.35,7,"Woody Guthrie",290,
0,2012-06-29 00:00:00.000000000,"AL5E4",6.67,6.87,3,"Woody Guthrie",290,
0,2016-06-05 00:00:00.000000000,"AL5E4",2.13,2.53,16,"Woody Guthrie",290,
1,2010-05-11 00:00:00.000000000,"AL5E4",2.4,2.33,10,"Woody Guthrie",290,
0,2016-11-23 00:00:00.000000000,"AL5E4",2.4,2.52,10,"Woody Guthrie",290,
0,2010-05-08 00:00:00.000000000,"AL5E4",6.32,6.71,5,"Woody Guthrie",290,
0,2016-04-25 00:00:00.000000000,"AL5E4",5.29,5.4,4,"Woody Guthrie",290,
1,2014-12-18 00:00:00.000000000,"AM6EH",1.99,1.93,2,"Woody Guthrie",290,
0,2014-12-21 00:00:00.000000000,"AM6EH",7.04,7.23,6,"Woody Guthrie",290,
0,2014-03-15 00:00:00.000000000,"AODV3",3.98,5.26,1,"Woody Guthrie",290,
0,2009-07-12 00:00:00.000000000,"AOM3I",0.92,0.94,11,"Woody Guthrie",290,
0,2014-04-11 00:00:00.000000000,"AOM3I",4.15,4.15,28,"Woody Guthrie",290,
0,2016-11-11 00:00:00.000000000,"AOM3I",5.06,5.58,23,"Woody Guthrie",290,
0,2011-06-06 00:00:00.000000000,"AOM3I",7.22,8.08,22,"Woody Guthrie",290,
