"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
0,2016-01-02 00:00:00.000000000,"3YDVF",8.97,11.15,9,"Francesco Cossiga",107,
0,2011-05-14 00:00:00.000000000,"3YDVF",2.13,2.62,12,"Francesco Cossiga",107,
1,2018-07-18 00:00:00.000000000,"3YDVF",6.04,5.62,19,"Francesco Cossiga",107,
0,2010-01-05 00:00:00.000000000,"3YDVF",6.09,7.31,34,"Francesco Cossiga",107,
1,2013-10-29 00:00:00.000000000,"3YDVF",2.47,2.44,29,"Francesco Cossiga",107,
0,2019-10-09 00:00:00.000000000,"3YDVF",9.74,10.32,30,"Francesco Cossiga",107,
1,2017-01-10 00:00:00.000000000,"3YDVF",9.85,9.35,33,"Francesco Cossiga",107,
1,2013-02-17 00:00:00.000000000,"3YDVF",7.32,6.87,20,"Francesco Cossiga",107,
0,2019-08-20 00:00:00.000000000,"495BR",3.65,4.27,6,"Francesco Cossiga",107,
1,2018-02-10 00:00:00.000000000,"495BR",1.14,1.07,15,"Francesco Cossiga",107,
0,2017-11-23 00:00:00.000000000,"495BR",6.53,8.04,18,"Francesco Cossiga",107,
0,2015-12-29 00:00:00.000000000,"495BR",2.39,2.7,27,"Francesco Cossiga",107,
0,2019-08-31 00:00:00.000000000,"495BR",6.93,7.78,28,"Francesco Cossiga",107,
1,2012-01-13 00:00:00.000000000,"495BR",4.61,4.42,36,"Francesco Cossiga",107,
1,2011-11-26 00:00:00.000000000,"86X06",5.45,5.16,11,"Francesco Cossiga",107,
0,2011-04-14 00:00:00.000000000,"86X06",4.99,5.54,6,"Francesco Cossiga",107,
1,2019-02-25 00:00:00.000000000,"86X06",6.79,6.58,15,"Francesco Cossiga",107,
0,2009-03-14 00:00:00.000000000,"86X06",7.76,8.23,14,"Francesco Cossiga",107,
0,2016-06-26 00:00:00.000000000,"86X06",8.33,8.55,26,"Francesco Cossiga",107,
1,2016-06-08 00:00:00.000000000,"86X06",8.33,8.25,26,"Francesco Cossiga",107,
1,2009-01-19 00:00:00.000000000,"86X06",6.1,5.77,3,"Francesco Cossiga",107,
