"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
1,2019-01-08 00:00:00.000000000,"3YDVF",1.6,1.57,7,"George Washington",1,
0,2016-10-16 00:00:00.000000000,"495BR",0.14,0.15,29,"George Washington",1,
1,2011-04-17 00:00:00.000000000,"86X06",7.76,6.58,14,"George Washington",1,
1,2011-07-24 00:00:00.000000000,"86X06",3.68,3.31,32,"George Washington",1,
1,2014-10-03 00:00:00.000000000,"86X06",3.06,2.66,25,"George Washington",1,
1,2013-03-17 00:00:00.000000000,"86X06",9.23,7.38,4,"George Washington",1,
1,2019-09-10 00:00:00.000000000,"86X06",1.26,1.19,2,"George Washington",1,
0,2017-09-04 00:00:00.000000000,"8YTZV",2.58,2.63,11,"George Washington",1,
1,2010-09-04 00:00:00.000000000,"E3WCF",5.91,5.16,29,"George Washington",1,
1,2009-02-13 00:00:00.000000000,"E3WCF",4.04,3.6,41,"George Washington",1,
1,2014-04-30 00:00:00.000000000,"E3WCF",4.91,4.22,42,"George Washington",1,
1,2011-03-03 00:00:00.000000000,"E3WCF",9.79,8.81,5,"George Washington",1,
1,2013-11-05 00:00:00.000000000,"E3WCF",0.54,0.51,15,"George Washington",1,
1,2012-04-17 00:00:00.000000000,"E3WCF",1.07,1.04,7,"George Washington",1,
1,2009-05-08 00:00:00.000000000,"E3WCF",1.07,0.94,7,"George Washington",1,
1,2017-09-18 00:00:00.000000000,"FZFA9",6.4,6.21,5,"George Washington",1,
1,2012-02-23 00:00:00.000000000,"FZFA9",7.63,6.41,25,"George Washington",1,
1,2009-01-18 00:00:00.000000000,"FZFA9",1.15,1.11,19,"George Washington",1,
0,2017-09-16 00:00:00.000000000,"FZFA9",4.52,4.79,3,"George Washington",1,
1,2019-07-15 00:00:00.000000000,"FZFA9",8.8,7.75,4,"George Washington",1,
1,2010-05-17 00:00:00.000000000,"KGVRC",1.96,1.76,43,"George Washington",1,
1,2012-05-14 00:00:00.000000000,"OQ8X3",6.52,5.41,48,"George Washington",1,
0,2012-12-30 00:00:00.000000000,"OQ8X3",5.73,6.12,4,"George Washington",1,
1,2014-08-26 00:00:00.000000000,"OQ8X3",4.11,3.66,27,"George Washington",1,
0,2019-03-31 00:00:00.000000000,"TKZXY",2.98,3.08,16,"George Washington",1,
1,2016-02-10 00:00:00.000000000,"TKZXY",4.45,4.1,21,"George Washington",1,
1,2016-06-06 00:00:00.000000000,"TKZXY",5.35,4.33,27,"George Washington",1,
1,2015-12-08 00:00:00.000000000,"WK41K",9.14,9.05,11,"George Washington",1,
1,2009-02-11 00:00:00.000000000,"WK41K",6.64,5.91,48,"George Washington",1,
