"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
0,2019-04-07 00:00:00.000000000,"3YDVF",0.67,0.86,1,"Philipp Ludwig von Seidel",27,
0,2012-06-17 00:00:00.000000000,"3YDVF",6.16,8.49,2,"Philipp Ludwig von Seidel",27,
0,2019-08-24 00:00:00.000000000,"3YDVF",7.56,9.2,3,"Philipp Ludwig von Seidel",27,
0,2019-08-25 00:00:00.000000000,"3YDVF",2.1,2.23,6,"Philipp Ludwig von Seidel",27,
0,2013-10-18 00:00:00.000000000,"3YDVF",4.64,5.15,13,"Philipp Ludwig von Seidel",27,
0,2017-03-10 00:00:00.000000000,"3YDVF",0.63,0.74,38,"Philipp Ludwig von Seidel",27,
0,2017-01-06 00:00:00.000000000,"3YDVF",5.83,5.89,23,"Philipp Ludwig von Seidel",27,
0,2019-10-06 00:00:00.000000000,"3YDVF",1.19,1.36,26,"Philipp Ludwig von Seidel",27,
0,2009-06-25 00:00:00.000000000,"3YDVF",9.48,10.71,27,"Philipp Ludwig von Seidel",27,
0,2013-11-05 00:00:00.000000000,"3YDVF",0.63,0.64,38,"Philipp Ludwig von Seidel",27,
0,2014-12-27 00:00:00.000000000,"3YDVF",0.63,0.69,38,"Philipp Ludwig von Seidel",27,
0,2011-02-06 00:00:00.000000000,"3YDVF",0.33,0.43,18,"Philipp Ludwig von Seidel",27,
1,2011-07-08 00:00:00.000000000,"495BR",3.48,3.44,11,"Philipp Ludwig von Seidel",27,
1,2010-07-22 00:00:00.000000000,"495BR",0.32,0.31,12,"Philipp Ludwig von Seidel",27,
0,2016-02-22 00:00:00.000000000,"495BR",6.61,7.33,17,"Philipp Ludwig von Seidel",27,
0,2018-01-26 00:00:00.000000000,"495BR",2.15,2.26,22,"Philipp Ludwig von Seidel",27,
0,2015-02-27 00:00:00.000000000,"495BR",6.93,6.93,28,"Philipp Ludwig von Seidel",27,
0,2011-10-25 00:00:00.000000000,"495BR",1.16,1.21,34,"Philipp Ludwig von Seidel",27,
0,2019-09-04 00:00:00.000000000,"495BR",1.16,1.35,34,"Philipp Ludwig von Seidel",27,
1,2011-11-18 00:00:00.000000000,"495BR",9.48,9.29,35,"Philipp Ludwig von Seidel",27,
0,2013-12-01 00:00:00.000000000,"495BR",9.48,10.75,35,"Philipp Ludwig von Seidel",27,
0,2017-12-10 00:00:00.000000000,"495BR",9.88,11.41,44,"Philipp Ludwig von Seidel",27,
0,2015-05-26 00:00:00.000000000,"86X06",0.47,0.55,30,"Philipp Ludwig von Seidel",27,
0,2011-07-23 00:00:00.000000000,"86X06",4.11,4.75,28,"Philipp Ludwig von Seidel",27,
0,2011-07-23 00:00:00.000000000,"86X06",3.06,3.6,25,"Philipp Ludwig von Seidel",27,
0,2013-10-24 00:00:00.000000000,"86X06",6.12,6.73,10,"Philipp Ludwig von Seidel",27,
0,2012-02-02 00:00:00.000000000,"86X06",6.47,7.25,35,"Philipp Ludwig von Seidel",27,
1,2017-08-31 00:00:00.000000000,"8YTZV",8.33,7.58,32,"Philipp Ludwig von Seidel",27,
0,2013-12-21 00:00:00.000000000,"8YTZV",6.02,6.46,12,"Philipp Ludwig von Seidel",27,
0,2012-02-07 00:00:00.000000000,"8YTZV",2.73,3.08,3,"Philipp Ludwig von Seidel",27,
0,2017-08-12 00:00:00.000000000,"8YTZV",2.73,3.47,3,"Philipp Ludwig von Seidel",27,
1,2011-08-12 00:00:00.000000000,"8YTZV",5.62,5.12,5,"Philipp Ludwig von Seidel",27,
0,2018-12-18 00:00:00.000000000,"8YTZV",8.61,9.99,22,"Philipp Ludwig von Seidel",27,
0,2010-05-16 00:00:00.000000000,"8YTZV",1.59,1.6,26,"Philipp Ludwig von Seidel",27,
1,2015-04-18 00:00:00.000000000,"E3WCF",9.59,9.3,36,"Philipp Ludwig von Seidel",27,
0,2017-07-19 00:00:00.000000000,"E3WCF",9.24,11.08,2,"Philipp Ludwig von Seidel",27,
0,2009-08-22 00:00:00.000000000,"E3WCF",4.04,5.2,41,"Philipp Ludwig von Seidel",27,
0,2016-05-08 00:00:00.000000000,"E3WCF",8.06,8.22,40,"Philipp Ludwig von Seidel",27,
1,2019-07-22 00:00:00.000000000,"E3WCF",1.07,0.98,7,"Philipp Ludwig von Seidel",27,
0,2011-12-20 00:00:00.000000000,"E3WCF",2.67,2.7,8,"Philipp Ludwig von Seidel",27,
0,2009-11-13 00:00:00.000000000,"E3WCF",2.96,3.37,16,"Philipp Ludwig von Seidel",27,
0,2018-04-27 00:00:00.000000000,"E3WCF",4.85,5.62,24,"Philipp Ludwig von Seidel",27,
0,2009-11-25 00:00:00.000000000,"E3WCF",4.69,5.41,34,"Philipp Ludwig von Seidel",27,
0,2018-09-03 00:00:00.000000000,"FZFA9",1.45,1.73,24,"Philipp Ludwig von Seidel",27,
1,2013-06-10 00:00:00.000000000,"FZFA9",6.4,6.34,5,"Philipp Ludwig von Seidel",27,
1,2013-06-24 00:00:00.000000000,"FZFA9",7.35,6.84,32,"Philipp Ludwig von Seidel",27,
0,2016-05-12 00:00:00.000000000,"FZFA9",4.18,4.51,35,"Philipp Ludwig von Seidel",27,
0,2015-11-29 00:00:00.000000000,"KGVRC",8.69,10.19,29,"Philipp Ludwig von Seidel",27,
0,2010-05-05 00:00:00.000000000,"KGVRC",7.93,8.16,22,"Philipp Ludwig von Seidel",27,
0,2019-05-10 00:00:00.000000000,"KGVRC",8.54,8.8,8,"Philipp Ludwig von Seidel",27,
1,2016-03-03 00:00:00.000000000,"KGVRC",5.63,5.12,11,"Philipp Ludwig von Seidel",27,
0,2010-04-29 00:00:00.000000000,"KGVRC",7.47,8.22,6,"Philipp Ludwig von Seidel",27,
0,2010-05-09 00:00:00.000000000,"KGVRC",0.88,1.01,33,"Philipp Ludwig von Seidel",27,
1,2010-08-16 00:00:00.000000000,"KGVRC",0.57,0.53,35,"Philipp Ludwig von Seidel",27,
