"RESULTADO","DATA_EXECUCAO","PRODUTO","TEMPO_PLAN","TEMPO_REAL","OPERACAO","NOME","ID_PESSOA",
0,2011-02-02 00:00:00.000000000,"3YDVF",8.71,9.4,4,"Stéphane Mallarmé",58,
0,2009-12-22 00:00:00.000000000,"3YDVF",1.6,1.71,7,"Stéphane Mallarmé",58,
0,2019-09-27 00:00:00.000000000,"3YDVF",3.5,3.54,15,"Stéphane Mallarmé",58,
1,2014-11-03 00:00:00.000000000,"3YDVF",6.79,6.72,42,"Stéphane Mallarmé",58,
0,2019-05-28 00:00:00.000000000,"3YDVF",5.73,6.59,24,"Stéphane Mallarmé",58,
0,2015-08-30 00:00:00.000000000,"3YDVF",7.01,8.8,32,"Stéphane Mallarmé",58,
0,2011-02-18 00:00:00.000000000,"3YDVF",6.79,7.67,42,"Stéphane Mallarmé",58,
1,2019-05-22 00:00:00.000000000,"3YDVF",4.1,3.9,16,"Stéphane Mallarmé",58,
0,2010-07-18 00:00:00.000000000,"495BR",3.65,4.53,6,"Stéphane Mallarmé",58,
0,2010-09-16 00:00:00.000000000,"495BR",4.64,4.64,8,"Stéphane Mallarmé",58,
0,2011-08-07 00:00:00.000000000,"495BR",4.88,4.95,10,"Stéphane Mallarmé",58,
1,2015-03-24 00:00:00.000000000,"495BR",3.48,3.17,11,"Stéphane Mallarmé",58,
0,2018-05-05 00:00:00.000000000,"495BR",3.05,3.26,16,"Stéphane Mallarmé",58,
0,2018-01-28 00:00:00.000000000,"495BR",0.48,0.51,31,"Stéphane Mallarmé",58,
0,2015-05-28 00:00:00.000000000,"495BR",0.48,0.48,31,"Stéphane Mallarmé",58,
0,2011-12-11 00:00:00.000000000,"495BR",1.16,1.21,34,"Stéphane Mallarmé",58,
1,2011-08-25 00:00:00.000000000,"495BR",4.61,4.19,36,"Stéphane Mallarmé",58,
0,2016-03-05 00:00:00.000000000,"495BR",4.61,5.18,36,"Stéphane Mallarmé",58,
0,2016-10-20 00:00:00.000000000,"495BR",4.61,5.02,36,"Stéphane Mallarmé",58,
0,2018-02-10 00:00:00.000000000,"495BR",4.61,4.63,36,"Stéphane Mallarmé",58,
1,2011-12-16 00:00:00.000000000,"495BR",6.16,5.91,43,"Stéphane Mallarmé",58,
0,2016-11-12 00:00:00.000000000,"86X06",6.47,8.25,1,"Stéphane Mallarmé",58,
1,2010-12-20 00:00:00.000000000,"86X06",6.47,6.02,1,"Stéphane Mallarmé",58,
0,2016-06-10 00:00:00.000000000,"86X06",0.63,0.65,29,"Stéphane Mallarmé",58,
1,2010-10-31 00:00:00.000000000,"86X06",4.21,4.08,27,"Stéphane Mallarmé",58,
0,2019-09-21 00:00:00.000000000,"86X06",6.87,7.77,21,"Stéphane Mallarmé",58,
0,2019-02-25 00:00:00.000000000,"86X06",5.01,5.36,18,"Stéphane Mallarmé",58,
0,2016-05-31 00:00:00.000000000,"86X06",4.06,4.71,13,"Stéphane Mallarmé",58,
0,2011-04-16 00:00:00.000000000,"86X06",5.45,7.2,11,"Stéphane Mallarmé",58,
1,2016-11-14 00:00:00.000000000,"86X06",9.23,9.13,4,"Stéphane Mallarmé",58,
0,2009-05-30 00:00:00.000000000,"86X06",5.1,5.78,5,"Stéphane Mallarmé",58,
0,2019-02-19 00:00:00.000000000,"86X06",4.99,5.89,6,"Stéphane Mallarmé",58,
0,2019-12-09 00:00:00.000000000,"86X06",5.93,6.34,9,"Stéphane Mallarmé",58,
0,2015-05-15 00:00:00.000000000,"86X06",6.12,6.43,10,"Stéphane Mallarmé",58,
0,2014-11-19 00:00:00.000000000,"8YTZV",2.13,2.45,17,"Stéphane Mallarmé",58,
1,2016-05-31 00:00:00.000000000,"8YTZV",7.44,6.7,33,"Stéphane Mallarmé",58,
1,2010-05-21 00:00:00.000000000,"8YTZV",8.33,8,32,"Stéphane Mallarmé",58,
0,2013-12-27 00:00:00.000000000,"8YTZV",8.51,9.88,30,"Stéphane Mallarmé",58,
